score,highest_tile
294340,16384
393068,16384
363544,16384
392504,16384
294904,16384
639028,32768
357668,16384
618516,32768
178300,8192
180124,8192
294888,16384
393208,16384
389180,16384
393236,16384
540720,32768
393208,16384
348216,16384
393224,16384
347848,16384
295240,16384
391832,16384
806864,32768
393348,16384
347432,16384
348184,16384
393272,16384
589860,32768
295196,16384
593976,32768
392468,16384
393176,16384
274804,16384
393236,16384
393188,16384
372760,16384
347784,16384
389144,16384
392140,16384
347484,16384
393212,16384
393192,16384
348148,16384
348476,16384
383992,16384
393236,16384
348488,16384
748380,32768
180244,8192
753684,32768
539928,32768
