score,highest_tile
393212,16384
393180,16384
293272,16384
393172,16384
393224,16384
372792,16384
393196,16384
786316,32768
638900,32768
618248,32768
393180,16384
393240,16384
393204,16384
295080,16384
393260,16384
387368,16384
393208,16384
540556,32768
393112,16384
392904,16384
61592,4096
639108,32768
393096,16384
393144,16384
179596,8192
294156,16384
384180,16384
629784,32768
393236,16384
393224,16384
393260,16384
638924,32768
180556,8192
180236,8192
393240,16384
180284,8192
749780,32768
638936,32768
629780,32768
383836,16384
393180,16384
393320,16384
372796,16384
393236,16384
393188,16384
638872,32768
593980,32768
392952,16384
638952,32768
372872,16384
